Word,Document Frequency,Postings
3,7,"[{'course_id': 'ADM 3357', 'doc_id': 43, 'term_frequency': 2}, {'course_id': 'ADM 4103', 'doc_id': 55, 'term_frequency': 1}, {'course_id': 'ADM 4357', 'doc_id': 87, 'term_frequency': 2}, {'course_id': 'PSY 6145', 'doc_id': 286, 'term_frequency': 1}, {'course_id': 'PSY 6945', 'doc_id': 320, 'term_frequency': 1}, {'course_id': 'MAT 1325', 'doc_id': 365, 'term_frequency': 1}, {'course_id': 'CSI 9998', 'doc_id': 666, 'term_frequency': 1}]"
30,8,"[{'course_id': 'PSY 5023', 'doc_id': 228, 'term_frequency': 1}, {'course_id': 'PSY 6007', 'doc_id': 257, 'term_frequency': 1}, {'course_id': 'PSY 6008', 'doc_id': 258, 'term_frequency': 1}, {'course_id': 'PSY 6009', 'doc_id': 259, 'term_frequency': 1}, {'course_id': 'PSY 6010', 'doc_id': 260, 'term_frequency': 1}, {'course_id': 'PSY 6022', 'doc_id': 261, 'term_frequency': 1}, {'course_id': 'PSY 6032', 'doc_id': 262, 'term_frequency': 1}, {'course_id': 'MAT 6997', 'doc_id': 537, 'term_frequency': 1}]"
3175,1,"[{'course_id': 'MAT 4175', 'doc_id': 431, 'term_frequency': 1}]"
33,1,"[{'course_id': 'ADM 4103', 'doc_id': 55, 'term_frequency': 1}]"
3340,1,"[{'course_id': 'ADM 2342', 'doc_id': 14, 'term_frequency': 1}]"
3d,2,"[{'course_id': 'CSI 4130', 'doc_id': 581, 'term_frequency': 1}, {'course_id': 'CSI 5147', 'doc_id': 620, 'term_frequency': 1}]"
4,3,"[{'course_id': 'PSY 6145', 'doc_id': 286, 'term_frequency': 1}, {'course_id': 'PSY 6945', 'doc_id': 320, 'term_frequency': 1}, {'course_id': 'CSI 9998', 'doc_id': 666, 'term_frequency': 1}]"
40,1,"[{'course_id': 'MAT 6997', 'doc_id': 537, 'term_frequency': 1}]"
4000,1,"[{'course_id': 'ADM 4103', 'doc_id': 55, 'term_frequency': 1}]"
4th,1,"[{'course_id': 'CSI 1308', 'doc_id': 554, 'term_frequency': 1}]"
4u,1,"[{'course_id': 'MAT 1339', 'doc_id': 368, 'term_frequency': 2}]"
5,2,"[{'course_id': 'PSY 6145', 'doc_id': 286, 'term_frequency': 1}, {'course_id': 'PSY 6945', 'doc_id': 320, 'term_frequency': 1}]"
5001,2,"[{'course_id': 'MAT 5144', 'doc_id': 465, 'term_frequency': 1}, {'course_id': 'CSI 5113', 'doc_id': 599, 'term_frequency': 1}]"
5002,2,"[{'course_id': 'MAT 5149', 'doc_id': 470, 'term_frequency': 1}, {'course_id': 'CSI 5128', 'doc_id': 608, 'term_frequency': 1}]"
5003,2,"[{'course_id': 'MAT 5122', 'doc_id': 455, 'term_frequency': 1}, {'course_id': 'CSI 5308', 'doc_id': 642, 'term_frequency': 1}]"
5004,1,"[{'course_id': 'CSI 5134', 'doc_id': 611, 'term_frequency': 1}]"
5005,1,"[{'course_id': 'MAT 5127', 'doc_id': 458, 'term_frequency': 1}]"
5007,2,"[{'course_id': 'MAT 5125', 'doc_id': 456, 'term_frequency': 1}]"
5008,2,"[{'course_id': 'MAT 5126', 'doc_id': 457, 'term_frequency': 1}, {'course_id': 'CSI 5164', 'doc_id': 630, 'term_frequency': 1}]"
5009,1,"[{'course_id': 'MAT 5121', 'doc_id': 454, 'term_frequency': 1}]"
5100,1,"[{'course_id': 'CSI 5180', 'doc_id': 639, 'term_frequency': 1}]"
5101,1,"[{'course_id': 'CSI 5311', 'doc_id': 643, 'term_frequency': 1}]"
5102,2,"[{'course_id': 'MAT 5148', 'doc_id': 469, 'term_frequency': 1}, {'course_id': 'CSI 5312', 'doc_id': 644, 'term_frequency': 1}]"
5103,2,"[{'course_id': 'MAT 5146', 'doc_id': 467, 'term_frequency': 1}, {'course_id': 'CSI 5148', 'doc_id': 621, 'term_frequency': 1}]"
5104,2,"[{'course_id': 'MAT 5143', 'doc_id': 464, 'term_frequency': 1}, {'course_id': 'CSI 5314', 'doc_id': 645, 'term_frequency': 1}]"
5105,2,"[{'course_id': 'MAT 9908', 'doc_id': 546, 'term_frequency': 2}, {'course_id': 'MAT 9909', 'doc_id': 547, 'term_frequency': 1}]"
5106,1,"[{'course_id': 'MAT 5145', 'doc_id': 466, 'term_frequency': 1}]"
5107,4,"[{'course_id': 'MAT 5141', 'doc_id': 462, 'term_frequency': 1}, {'course_id': 'MAT 9908', 'doc_id': 546, 'term_frequency': 1}, {'course_id': 'MAT 9909', 'doc_id': 547, 'term_frequency': 2}, {'course_id': 'CSI 5185', 'doc_id': 641, 'term_frequency': 1}]"
5108,2,"[{'course_id': 'MAT 5147', 'doc_id': 468, 'term_frequency': 1}, {'course_id': 'CSI 5126', 'doc_id': 606, 'term_frequency': 1}]"
5109,1,"[{'course_id': 'MAT 5142', 'doc_id': 463, 'term_frequency': 1}]"
5110,1,"[{'course_id': 'CSI 5136', 'doc_id': 613, 'term_frequency': 1}]"
5111,1,"[{'course_id': 'CSI 5153', 'doc_id': 625, 'term_frequency': 1}]"
5112,1,"[{'course_id': 'CSI 5154', 'doc_id': 626, 'term_frequency': 1}]"
5124,1,"[{'course_id': 'CSI 5151', 'doc_id': 623, 'term_frequency': 1}]"
5125,2,"[{'course_id': 'MAT 9900', 'doc_id': 538, 'term_frequency': 2}, {'course_id': 'MAT 9901', 'doc_id': 539, 'term_frequency': 1}]"
5126,2,"[{'course_id': 'MAT 9900', 'doc_id': 538, 'term_frequency': 1}]"
5131,4,"[{'course_id': 'MAT 9906', 'doc_id': 544, 'term_frequency': 2}, {'course_id': 'MAT 9907', 'doc_id': 545, 'term_frequency': 1}, {'course_id': 'CSI 5149', 'doc_id': 622, 'term_frequency': 2}, {'course_id': 'CSI 7131', 'doc_id': 656, 'term_frequency': 1}]"
5133,2,"[{'course_id': 'MAT 9906', 'doc_id': 544, 'term_frequency': 1}]"
5141,2,"[{'course_id': 'MAT 9902', 'doc_id': 540, 'term_frequency': 2}, {'course_id': 'MAT 9903', 'doc_id': 541, 'term_frequency': 1}]"
5142,3,"[{'course_id': 'MAT 9902', 'doc_id': 540, 'term_frequency': 1}, {'course_id': 'MAT 9903', 'doc_id': 541, 'term_frequency': 2}, {'course_id': 'CSI 5142', 'doc_id': 618, 'term_frequency': 1}]"
5149,1,"[{'course_id': 'CSI 5149', 'doc_id': 622, 'term_frequency': 1}]"
5151,3,"[{'course_id': 'MAT 9904', 'doc_id': 542, 'term_frequency': 2}, {'course_id': 'MAT 9905', 'doc_id': 543, 'term_frequency': 1}, {'course_id': 'CSI 5151', 'doc_id': 623, 'term_frequency': 1}]"
5152,2,"[{'course_id': 'MAT 9904', 'doc_id': 542, 'term_frequency': 1}]"
5169,1,"[{'course_id': 'CSI 5169', 'doc_id': 635, 'term_frequency': 2}]"
5170,2,"[{'course_id': 'MAT 9910', 'doc_id': 548, 'term_frequency': 2}, {'course_id': 'MAT 9911', 'doc_id': 549, 'term_frequency': 1}]"
5171,2,"[{'course_id': 'MAT 9910', 'doc_id': 548, 'term_frequency': 1}]"
5175,1,"[{'course_id': 'CSI 5175', 'doc_id': 638, 'term_frequency': 2}]"
5190,2,"[{'course_id': 'MAT 9912', 'doc_id': 550, 'term_frequency': 2}, {'course_id': 'MAT 9913', 'doc_id': 551, 'term_frequency': 1}]"
5191,2,"[{'course_id': 'MAT 9912', 'doc_id': 550, 'term_frequency': 1}]"
5201,2,"[{'course_id': 'MAT 5150', 'doc_id': 471, 'term_frequency': 1}, {'course_id': 'CSI 5147', 'doc_id': 620, 'term_frequency': 1}]"
5202,1,"[{'course_id': 'MAT 5168', 'doc_id': 483, 'term_frequency': 1}]"
5203,1,"[{'course_id': 'CSI 5173', 'doc_id': 636, 'term_frequency': 1}]"
5204,2,"[{'course_id': 'CSI 5124', 'doc_id': 605, 'term_frequency': 1}, {'course_id': 'CSI 5151', 'doc_id': 623, 'term_frequency': 1}]"
5205,2,"[{'course_id': 'MAT 5151', 'doc_id': 472, 'term_frequency': 1}]"
5206,2,"[{'course_id': 'MAT 5152', 'doc_id': 473, 'term_frequency': 1}, {'course_id': 'CSI 5183', 'doc_id': 640, 'term_frequency': 1}]"
5207,2,"[{'course_id': 'MAT 5169', 'doc_id': 484, 'term_frequency': 1}, {'course_id': 'CSI 5112', 'doc_id': 598, 'term_frequency': 1}]"
5208,1,"[{'course_id': 'MAT 5155', 'doc_id': 474, 'term_frequency': 1}]"
5209,1,"[{'course_id': 'CSI 5135', 'doc_id': 612, 'term_frequency': 1}]"
5210,1,"[{'course_id': 'CSI 5167', 'doc_id': 633, 'term_frequency': 1}]"
5300,1,"[{'course_id': 'MAT 5160', 'doc_id': 476, 'term_frequency': 1}]"
5301,2,"[{'course_id': 'MAT 5161', 'doc_id': 477, 'term_frequency': 1}, {'course_id': 'CSI 5122', 'doc_id': 604, 'term_frequency': 1}]"
5302,1,"[{'course_id': 'CSI 5118', 'doc_id': 602, 'term_frequency': 1}]"
5304,1,"[{'course_id': 'CSI 5169', 'doc_id': 635, 'term_frequency': 1}]"
5305,2,"[{'course_id': 'MAT 5163', 'doc_id': 479, 'term_frequency': 1}, {'course_id': 'CSI 5129', 'doc_id': 609, 'term_frequency': 1}]"
5306,3,"[{'course_id': 'MAT 5164', 'doc_id': 480, 'term_frequency': 1}, {'course_id': 'CSI 5100', 'doc_id': 591, 'term_frequency': 1}, {'course_id': 'CSI 5142', 'doc_id': 618, 'term_frequency': 1}]"
5307,1,"[{'course_id': 'CSI 5101', 'doc_id': 592, 'term_frequency': 1}]"
5308,1,"[{'course_id': 'CSI 5102', 'doc_id': 593, 'term_frequency': 1}]"
5309,1,"[{'course_id': 'CSI 5168', 'doc_id': 634, 'term_frequency': 1}]"
5310,1,"[{'course_id': 'CSI 5152', 'doc_id': 624, 'term_frequency': 1}]"
5360,1,"[{'course_id': 'ADM 5361', 'doc_id': 113, 'term_frequency': 1}]"
5380,1,"[{'course_id': 'CSI 5380', 'doc_id': 646, 'term_frequency': 2}]"
5401,1,"[{'course_id': 'CSI 5389', 'doc_id': 649, 'term_frequency': 2}, {'course_id': 'CSI 5389', 'doc_id': 649, 'term_frequency': 1}]"
5402,2,"[{'course_id': 'CSI 5142', 'doc_id': 618, 'term_frequency': 2}, {'course_id': 'CSI 5146', 'doc_id': 619, 'term_frequency': 1}]"
5403,1,"[{'course_id': 'MAT 5187', 'doc_id': 497, 'term_frequency': 1}]"
5405,2,"[{'course_id': 'MAT 5131', 'doc_id': 459, 'term_frequency': 1}, {'course_id': 'CSI 5380', 'doc_id': 646, 'term_frequency': 1}]"
5406,2,"[{'course_id': 'MAT 5133', 'doc_id': 460, 'term_frequency': 1}, {'course_id': 'CSI 5105', 'doc_id': 594, 'term_frequency': 1}]"
5407,2,"[{'course_id': 'MAT 5134', 'doc_id': 461, 'term_frequency': 1}, {'course_id': 'CSI 5116', 'doc_id': 601, 'term_frequency': 1}]"
5408,2,"[{'course_id': 'MAT 5185', 'doc_id': 496, 'term_frequency': 1}, {'course_id': 'CSI 5121', 'doc_id': 603, 'term_frequency': 1}]"
5409,1,"[{'course_id': 'CSI 5127', 'doc_id': 607, 'term_frequency': 1}]"
5500,1,"[{'course_id': 'MAT 5177', 'doc_id': 492, 'term_frequency': 1}]"
5501,2,"[{'course_id': 'MAT 5191', 'doc_id': 499, 'term_frequency': 1}, {'course_id': 'CSI 5111', 'doc_id': 597, 'term_frequency': 1}]"
5502,1,"[{'course_id': 'MAT 5192', 'doc_id': 500, 'term_frequency': 1}]"
5503,2,"[{'course_id': 'MAT 5193', 'doc_id': 501, 'term_frequency': 1}, {'course_id': 'CSI 5115', 'doc_id': 600, 'term_frequency': 1}]"
5504,1,"[{'course_id': 'MAT 5194', 'doc_id': 502, 'term_frequency': 1}]"
5505,2,"[{'course_id': 'MAT 5195', 'doc_id': 503, 'term_frequency': 1}, {'course_id': 'CSI 5386', 'doc_id': 647, 'term_frequency': 1}]"
5506,1,"[{'course_id': 'MAT 5175', 'doc_id': 490, 'term_frequency': 1}]"
5507,1,"[{'course_id': 'MAT 5176', 'doc_id': 491, 'term_frequency': 1}]"
5508,1,"[{'course_id': 'MAT 5172', 'doc_id': 487, 'term_frequency': 1}]"
5509,1,"[{'course_id': 'MAT 5196', 'doc_id': 504, 'term_frequency': 1}]"
5551,1,"[{'course_id': 'MAT 9904', 'doc_id': 542, 'term_frequency': 2}]"
5552,1,"[{'course_id': 'MAT 9904', 'doc_id': 542, 'term_frequency': 2}, {'course_id': 'MAT 9904', 'doc_id': 542, 'term_frequency': 1}]"
5600,1,"[{'course_id': 'MAT 5190', 'doc_id': 498, 'term_frequency': 1}, {'course_id': 'MAT 5190', 'doc_id': 498, 'term_frequency': 1}]"
5601,1,"[{'course_id': 'MAT 5197', 'doc_id': 505, 'term_frequency': 1}, {'course_id': 'MAT 5197', 'doc_id': 505, 'term_frequency': 1}]"
5602,1,"[{'course_id': 'MAT 5317', 'doc_id': 516, 'term_frequency': 1}, {'course_id': 'MAT 5317', 'doc_id': 516, 'term_frequency': 1}]"
5603,1,"[{'course_id': 'MAT 5318', 'doc_id': 517, 'term_frequency': 1}, {'course_id': 'MAT 5318', 'doc_id': 517, 'term_frequency': 1}]"
5604,2,"[{'course_id': 'MAT 5173', 'doc_id': 488, 'term_frequency': 1}, {'course_id': 'CSI 5174', 'doc_id': 637, 'term_frequency': 1}]"
5605,2,"[{'course_id': 'MAT 5165', 'doc_id': 481, 'term_frequency': 1}, {'course_id': 'CSI 5149', 'doc_id': 622, 'term_frequency': 1}]"
5606,1,"[{'course_id': 'CSI 5161', 'doc_id': 628, 'term_frequency': 1}]"
5607,1,"[{'course_id': 'MAT 5324', 'doc_id': 519, 'term_frequency': 1}]"
5609,1,"[{'course_id': 'MAT 5301', 'doc_id': 507, 'term_frequency': 1}]"
5610,1,"[{'course_id': 'MAT 5375', 'doc_id': 530, 'term_frequency': 1}]"
5701,1,"[{'course_id': 'MAT 5198', 'doc_id': 506, 'term_frequency': 1}]"
5702,1,"[{'course_id': 'MAT 5182', 'doc_id': 495, 'term_frequency': 1}]"
5703,2,"[{'course_id': 'MAT 5181', 'doc_id': 494, 'term_frequency': 1}, {'course_id': 'CSI 5163', 'doc_id': 629, 'term_frequency': 1}]"
5704,3,"[{'course_id': 'MAT 5174', 'doc_id': 489, 'term_frequency': 1}, {'course_id': 'CSI 5131', 'doc_id': 610, 'term_frequency': 1}, {'course_id': 'CSI 7131', 'doc_id': 656, 'term_frequency': 1}]"
5707,1,"[{'course_id': 'CSI 5110', 'doc_id': 596, 'term_frequency': 1}]"
5708,1,"[{'course_id': 'MAT 5170', 'doc_id': 485, 'term_frequency': 1}]"
5709,2,"[{'course_id': 'MAT 5171', 'doc_id': 486, 'term_frequency': 1}, {'course_id': 'CSI 5165', 'doc_id': 631, 'term_frequency': 1}]"
5801,1,"[{'course_id': 'MAT 5303', 'doc_id': 508, 'term_frequency': 1}]"
5802,1,"[{'course_id': 'MAT 5325', 'doc_id': 520, 'term_frequency': 1}]"
5803,1,"[{'course_id': 'MAT 5304', 'doc_id': 509, 'term_frequency': 1}]"
5804,1,"[{'course_id': 'MAT 5307', 'doc_id': 510, 'term_frequency': 1}]"
5805,2,"[{'course_id': 'MAT 5308', 'doc_id': 511, 'term_frequency': 1}, {'course_id': 'CSI 5166', 'doc_id': 632, 'term_frequency': 1}]"
5806,1,"[{'course_id': 'MAT 5180', 'doc_id': 493, 'term_frequency': 1}]"
5807,1,"[{'course_id': 'MAT 5167', 'doc_id': 482, 'term_frequency': 1}]"
5808,1,"[{'course_id': 'MAT 5106', 'doc_id': 452, 'term_frequency': 1}]"
5818,1,"[{'course_id': 'MAT 5105', 'doc_id': 451, 'term_frequency': 1}]"
5819,1,"[{'course_id': 'MAT 5107', 'doc_id': 453, 'term_frequency': 1}]"
5821,1,"[{'course_id': 'MAT 5341', 'doc_id': 527, 'term_frequency': 1}]"
5822,1,"[{'course_id': 'MAT 5343', 'doc_id': 528, 'term_frequency': 1}]"
5900,7,"[{'course_id': 'MAT 5990', 'doc_id': 531, 'term_frequency': 1}, {'course_id': 'CSI 5137', 'doc_id': 614, 'term_frequency': 1}, {'course_id': 'CSI 5138', 'doc_id': 615, 'term_frequency': 1}, {'course_id': 'CSI 5139', 'doc_id': 616, 'term_frequency': 1}, {'course_id': 'CSI 5140', 'doc_id': 617, 'term_frequency': 1}, {'course_id': 'CSI 5175', 'doc_id': 638, 'term_frequency': 1}]"
5901,2,"[{'course_id': 'MAT 5991', 'doc_id': 532, 'term_frequency': 1}, {'course_id': 'CSI 5901', 'doc_id': 652, 'term_frequency': 1}]"
5902,1,"[{'course_id': 'CSI 5900', 'doc_id': 651, 'term_frequency': 1}]"
5903,2,"[{'course_id': 'CSI 5904', 'doc_id': 654, 'term_frequency': 1}, {'course_id': 'CSI 6900', 'doc_id': 655, 'term_frequency': 1}]"
5904,1,"[{'course_id': 'CSI 5904', 'doc_id': 654, 'term_frequency': 1}]"
5910,1,"[{'course_id': 'MAT 6997', 'doc_id': 537, 'term_frequency': 1}]"
6002,1,"[{'course_id': 'MAT 5309', 'doc_id': 512, 'term_frequency': 1}]"
6008,2,"[{'course_id': 'MAT 5326', 'doc_id': 521, 'term_frequency': 1}, {'course_id': 'MAT 5328', 'doc_id': 523, 'term_frequency': 1}]"
6009,1,"[{'course_id': 'MAT 5329', 'doc_id': 524, 'term_frequency': 1}]"
6100,1,"[{'course_id': 'CSI 7131', 'doc_id': 656, 'term_frequency': 1}]"
6101,1,"[{'course_id': 'MAT 5327', 'doc_id': 522, 'term_frequency': 1}]"
6102,1,"[{'course_id': 'MAT 5330', 'doc_id': 525, 'term_frequency': 1}]"
6103,1,"[{'course_id': 'MAT 5331', 'doc_id': 526, 'term_frequency': 1}]"
6104,2,"[{'course_id': 'MAT 5158', 'doc_id': 475, 'term_frequency': 1}, {'course_id': 'CSI 7314', 'doc_id': 662, 'term_frequency': 1}]"
6136,1,"[{'course_id': 'CSI 5142', 'doc_id': 618, 'term_frequency': 1}]"
6168,1,"[{'course_id': 'CSI 5169', 'doc_id': 635, 'term_frequency': 1}]"
6201,1,"[{'course_id': 'MAT 5312', 'doc_id': 513, 'term_frequency': 1}]"
6274,1,"[{'course_id': 'ADM 6286', 'doc_id': 125, 'term_frequency': 1}]"
6275,1,"[{'course_id': 'ADM 6287', 'doc_id': 126, 'term_frequency': 1}]"
6286,1,"[{'course_id': 'ADM 6286', 'doc_id': 125, 'term_frequency': 1}]"
6287,1,"[{'course_id': 'ADM 6287', 'doc_id': 126, 'term_frequency': 1}]"
6507,2,"[{'course_id': 'MAT 5313', 'doc_id': 514, 'term_frequency': 1}, {'course_id': 'MAT 5319', 'doc_id': 518, 'term_frequency': 1}]"
6508,1,"[{'course_id': 'MAT 5314', 'doc_id': 515, 'term_frequency': 1}]"
6601,1,"[{'course_id': 'CSI 7160', 'doc_id': 657, 'term_frequency': 1}]"
6602,1,"[{'course_id': 'CSI 7170', 'doc_id': 661, 'term_frequency': 1}]"
6603,1,"[{'course_id': 'CSI 7161', 'doc_id': 658, 'term_frequency': 1}]"
6604,1,"[{'course_id': 'CSI 7162', 'doc_id': 659, 'term_frequency': 1}]"
6605,1,"[{'course_id': 'CSI 7163', 'doc_id': 660, 'term_frequency': 1}]"
6806,1,"[{'course_id': 'MAT 5361', 'doc_id': 529, 'term_frequency': 1}]"
6807,1,"[{'course_id': 'MAT 5162', 'doc_id': 478, 'term_frequency': 1}]"
6900,2,"[{'course_id': 'MAT 6990', 'doc_id': 535, 'term_frequency': 1}, {'course_id': 'CSI 6900', 'doc_id': 655, 'term_frequency': 1}]"
6901,2,"[{'course_id': 'MAT 6991', 'doc_id': 536, 'term_frequency': 1}, {'course_id': 'CSI 7901', 'doc_id': 664, 'term_frequency': 1}]"
6902,1,"[{'course_id': 'CSI 7900', 'doc_id': 663, 'term_frequency': 1}]"
6907,1,"[{'course_id': 'CSI 9998', 'doc_id': 666, 'term_frequency': 2}]"
6908,1,"[{'course_id': 'CSI 9997', 'doc_id': 665, 'term_frequency': 2}]"
7177,1,"[{'course_id': 'CSI 5149', 'doc_id': 622, 'term_frequency': 2}, {'course_id': 'CSI 5149', 'doc_id': 622, 'term_frequency': 1}]"
7916,1,"[{'course_id': 'PSY 8916', 'doc_id': 357, 'term_frequency': 1}, {'course_id': 'PSY 8916', 'doc_id': 357, 'term_frequency': 1}]"
8,2,"[{'course_id': 'ADM 4903', 'doc_id': 95, 'term_frequency': 1}, {'course_id': 'CSI 9997', 'doc_id': 665, 'term_frequency': 1}]"
90,1,"[{'course_id': 'PSY 6002', 'doc_id': 256, 'term_frequency': 1}]"
abelian,1,"[{'course_id': 'MAT 2143', 'doc_id': 380, 'term_frequency': 1}]"
abil,5,"[{'course_id': 'ADM 4340', 'doc_id': 73, 'term_frequency': 1}, {'course_id': 'PSY 3378', 'doc_id': 205, 'term_frequency': 1}, {'course_id': 'PSY 4310', 'doc_id': 221, 'term_frequency': 1}, {'course_id': 'PSY 6115', 'doc_id': 274, 'term_frequency': 1}, {'course_id': 'PSY 6904', 'doc_id': 309, 'term_frequency': 1}]"
abl,2,"[{'course_id': 'ADM 4340', 'doc_id': 73, 'term_frequency': 1}, {'course_id': 'ADM 6395', 'doc_id': 167, 'term_frequency': 1}]"
abnorm,3,"[{'course_id': 'PSY 1102', 'doc_id': 172, 'term_frequency': 1}, {'course_id': 'PSY 4371', 'doc_id': 223, 'term_frequency': 1}, {'course_id': 'PSY 6190', 'doc_id': 302, 'term_frequency': 1}]"
absolut,3,"[{'course_id': 'MAT 1318', 'doc_id': 362, 'term_frequency': 1}, {'course_id': 'MAT 4125', 'doc_id': 415, 'term_frequency': 1}, {'course_id': 'MAT 5125', 'doc_id': 456, 'term_frequency': 1}]"
abstract,5,"[{'course_id': 'MAT 3101', 'doc_id': 393, 'term_frequency': 1}, {'course_id': 'CSI 2110', 'doc_id': 557, 'term_frequency': 1}, {'course_id': 'CSI 4125', 'doc_id': 579, 'term_frequency': 1}, {'course_id': 'CSI 5113', 'doc_id': 599, 'term_frequency': 1}, {'course_id': 'CSI 5152', 'doc_id': 624, 'term_frequency': 1}]"
abus,4,"[{'course_id': 'PSY 3123', 'doc_id': 189, 'term_frequency': 1}, {'course_id': 'PSY 3142', 'doc_id': 196, 'term_frequency': 1}, {'course_id': 'PSY 7109', 'doc_id': 343, 'term_frequency': 1}, {'course_id': 'PSY 7909', 'doc_id': 355, 'term_frequency': 1}]"
academ,19,"[{'course_id': 'ADM 3357', 'doc_id': 43, 'term_frequency': 2}, {'course_id': 'ADM 4357', 'doc_id': 87, 'term_frequency': 2}, {'course_id': 'PSY 3174', 'doc_id': 199, 'term_frequency': 1}, {'course_id': 'PSY 6127', 'doc_id': 280, 'term_frequency': 1}, {'course_id': 'PSY 6927', 'doc_id': 315, 'term_frequency': 1}, {'course_id': 'MAT 9900', 'doc_id': 538, 'term_frequency': 1}, {'course_id': 'MAT 9901', 'doc_id': 539, 'term_frequency': 1}, {'course_id': 'MAT 9902', 'doc_id': 540, 'term_frequency': 1}, {'course_id': 'MAT 9903', 'doc_id': 541, 'term_frequency': 1}, {'course_id': 'MAT 9904', 'doc_id': 542, 'term_frequency': 1}, {'course_id': 'MAT 9905', 'doc_id': 543, 'term_frequency': 1}, {'course_id': 'MAT 9906', 'doc_id': 544, 'term_frequency': 1}, {'course_id': 'MAT 9907', 'doc_id': 545, 'term_frequency': 1}, {'course_id': 'MAT 9908', 'doc_id': 546, 'term_frequency': 1}, {'course_id': 'MAT 9909', 'doc_id': 547, 'term_frequency': 1}, {'course_id': 'MAT 9910', 'doc_id': 548, 'term_frequency': 1}, {'course_id': 'MAT 9911', 'doc_id': 549, 'term_frequency': 1}, {'course_id': 'MAT 9912', 'doc_id': 550, 'term_frequency': 1}, {'course_id': 'MAT 9913', 'doc_id': 551, 'term_frequency': 1}]"
acadã©miqu,1,"[{'course_id': 'MAT 9904', 'doc_id': 542, 'term_frequency': 1}]"
acceler,2,"[{'course_id': 'ADM 6275', 'doc_id': 120, 'term_frequency': 1}, {'course_id': 'ADM 6287', 'doc_id': 126, 'term_frequency': 1}]"
access,6,"[{'course_id': 'CSI 3130', 'doc_id': 565, 'term_frequency': 1}, {'course_id': 'CSI 5105', 'doc_id': 594, 'term_frequency': 1}, {'course_id': 'CSI 5148', 'doc_id': 621, 'term_frequency': 1}, {'course_id': 'CSI 5169', 'doc_id': 635, 'term_frequency': 1}, {'course_id': 'CSI 5173', 'doc_id': 636, 'term_frequency': 1}, {'course_id': 'CSI 5380', 'doc_id': 646, 'term_frequency': 1}]"
accid,1,"[{'course_id': 'ADM 4336', 'doc_id': 69, 'term_frequency': 1}]"
