word,frequency
service,1033
increased,1032
well,1031
days,1030
second,1029
firms,1025
likely,1025
south,1025
value,1021
july,1018
basis,1017
banking,1012
eight,1007
continue,1005
average,1002
level,1001
private,1000
operating,998
fiscal,991
canada,990
firm,987
available,984
third,980
funds,978
dividend,975
acquisition,973
expects,971
marks,967
industrial,966
systems,964
held,964
fall,964
half,960
payments,953
traders,952
chief,948
services,942
reagan,939
previously,939
support,934
another,932
weeks,929
senior,926
much,925
agriculture,923
use,923
news,922
full,921
mths,920
figures,917
reserves,917
executive,913
called,913
date,912
gain,912
notes,910
surplus,907
fund,900
cost,900
estimated,899
amount,890
purchase,889
short,882
manager,880
help,876
already,873
nations,870
stocks,868
previous,860
say,860
close,860
london,855
many,853
supply,849
approved,846
results,845
open,839
agency,839
action,837
plant,833
september,832
industries,831
energy,828
stake,828
gold,826
preferred,824
several,823
association,822
move,821
selling,820
court,817
british,816
costs,816
tender,816
bill,814
reserve,813
farm,810
result,806
francs,806
include,804
issued,802
noted,799
asked,798
must,797
proposal,794
monetary,790
future,790
bid,789
secretary,786
output,786
following,785
point,781
payment,779
low,779
decision,778
sugar,776
possible,775
div,773
nil,773
merger,772
declined,772
less,768
levels,765
bankers,765
reduce,765
sector,760
conference,759
line,759
issues,758
strong,757
german,757
brazil,754
approval,754
received,753
administration,753
decline,752
largest,749
financing,747
convertible,746
prime,745
deal,743
number,743
soviet,743
plc,738
computer,737
members,736
offered,735
change,732
losses,732
washington,731
profits,729
joint,728
within,728
might,726
uk,725
debentures,721
crude,721
power,720
currently,715
back,710
additional,710
later,709
inflation,702
late,701
product,701
index,701
large,700
effective,698
savings,698
according,697
far,696
china,694
points,692
units,688
way,687
country,686
vice,684
completed,683
signed,681
work,679
local,678
baker,678
revenues,677
control,677
grain,675
provide,673
gulf,671
paper,668
filed,664
producers,662
whether,660
insurance,656
equity,655
coffee,654
texas,654
making,653
qtr,649
data,648
priced,647
worth,647
although,647
start,647
bought,646
governments,644
problems,639
germany,635
western,635
community,634
order,634
comment,634
tokyo,632
forecast,632
reporters,632
put,631
workers,627
congress,626
meet,625
petroleum,624
corn,622
planned,622
past,622
position,622
french,622
acquire,621
paid,620
trust,619
account,617
standard,616
drop,616
spending,614
least,613
october,613
goods,612
options,608
measures,607
certain,604
paris,604
reached,602
member,602
give,602
range,601
office,601
cents,599
without,598
negotiations,596
acquired,594
raised,593
need,592
analyst,591
plus,591
good,591
even,591
de,588
equipment,586
special,586
accord,584
contracts,584
final,582
division,582
subordinated,581
led,579
subject,578
real,575
among,575
qtly,575
despite,575
north,574
coupon,574
see,573
balance,573
marketing,573
think,572
proceeds,571
saying,568
details,565
dollars,564
opec,561
director,559
remain,556
fourth,553
closed,553
b,552
continued,552
show,552
officer,551
option,550
conditions,548
crop,548
raise,547
buying,544
given,544
reduced,540
corporate,540
holding,539
friday,538
initial,537
near,536
recently,535
ministers,534
area,532
venture,532
consumer,531
effect,530
japans,530
rights,529
split,528
scheduled,527
bills,527
fed,526
resources,524
party,524
food,522
pacific,522
pressure,521
import,520
base,519
people,518
go,518
technology,517
orders,517
target,515
facility,515
package,515
bpd,514
expect,512
small,512
holdings,511
senate,510
gains,509
europe,508
farmers,507
intervention,504
changes,504
research,503
come,502
security,500
adjusted,499
volume,499
lending,498
little,498
present,497
air,497
main,495
yield,494
november,494
working,494
economists,494
addition,493
taken,493
council,492
name,491
mark,491
information,490
series,489
free,489
barrels,489
going,484
right,481
allow,479
proposals,477
get,475
showed,475
transaction,473
daily,469
home,469
swiss,467
receive,466
become,465
iran,464
press,463
hold,462
political,462
america,460
august,460
areas,460
quoted,457
latest,456
commodity,453
countrys,452
payable,452
manufacturing,452
yet,452
letter,451
former,451
adding,451
return,450
revised,450
pact,450
revenue,449
soon,449
fixed,449
morning,449
began,448
named,446
strike,446
law,445
life,445
force,444
takeover,442
barrel,442
france,441
moodys,441
electric,440
like,439
existing,438
needed,438
leading,438
james,437
deposits,437
case,435
review,435
britain,434
project,434
key,433
white,433
seeking,432
tonne,431
steel,430
begin,429
probably,429
telephone,428
unchanged,428
rising,427
head,427
taking,426
capacity,426
decided,426
tomorrow,425
impact,424
gave,424
australian,423
east,423
bundesbank,423
warrants,423
city,421
corps,421
directors,421
situation,420
traded,420
partners,420
cuts,420
tariffs,419
included,418
natural,417
reduction,417
creditors,417
agricultural,417
construction,417
response,416
restructuring,416
holders,416
better,414
limited,414
problem,414
policies,412
place,411
car,409
turnover,409
repurchase,406
p,406
cars,405
heavy,404
agreements,403
chicago,402
increases,402
reform,402
usda,399
currencies,399
underwriting,396
commerce,395
class,395
top,395
immediately,394
extraordinary,392
sharp,391
ending,391
ag,390
want,389
monday,389
related,389
charge,388
believe,388
issuing,387
drug,386
able,385
groups,385
combined,385
overseas,384
par,384
morgan,382
saudi,382
mainly,382
stores,382
study,381
exploration,380
aid,379
operation,378
seek,377
sterling,377
slightly,376
potential,375
call,375
growing,374
todays,374
purchases,373
soybean,372
ahead,370
similar,369
principal,368
chemical,368
cannot,367
discount,367
dutch,367
form,366
significant,366
filing,366
involved,365
distribution,365
england,364
texaco,364
reports,363
southern,362
rules,362
motors,362
brothers,361
brazils,361
times,361
airlines,361
figure,361
legislation,361
ruling,359
continuing,358
quota,358
john,357
institutions,356
hit,356
shareholder,355
act,355
customers,355
almost,354
rather,354
boost,354
certificates,353
efforts,352
brokers,352
personal,350
excludes,350
mid,349
performance,349
listed,348
seen,348
developing,348
respectively,347
delivery,347
mortgage,347
investor,346
cocoa,345
land,344
merrill,344
taxes,344
increasing,342
cover,341
difficult,341
concern,340
war,340
consider,339
light,339
investments,338
overall,338
sharply,338
enough,337
settlement,337
lines,336
communications,336
announcement,335
gross,335
liquidity,335
lynch,334
produce,334
brazilian,333
network,333
produced,333
discontinued,332
sec,332
hong,332
quotas,331
imf,331
raising,330
kong,330
partnership,329
disclosed,329
expansion,329
producer,328
caused,328
pre,327
transactions,327
deposit,327
employees,327
remaining,327
took,326
businesses,326
mining,326
process,325
paying,324
crisis,324
institute,320
corporation,320
improved,320
credits,320
greater,320
franc,319
robert,318
interests,318
risk,318
vote,318
chrysler,317
projects,317
keep,317
introduced,316
estimates,315
session,314
extended,313
retail,313
request,313
nearly,313
limit,312
closing,312
statistics,312
important,312
opposition,312
poors,311
medium,311
shearson,310
mine,309
taiwan,309
substantial,308
regulatory,308
c,308
majority,308
required,308
shipments,308
beginning,307
aimed,307
interview,307
northern,307
stability,306
longer,306
post,306
necessary,305
television,305
iranian,305
offers,305
australia,305
test,304
parent,304
motor,303
accounts,303
competition,303
telecommunications,303
staff,303
declared,302
indicated,302
building,302
run,301
improve,301
view,300
discuss,300
changed,300
reach,300
started,300
affected,300
failed,299
provided,299
miles,299
plants,298
competitive,298
opening,298
charges,298
aircraft,297
tons,297
source,296
newspaper,295
producing,295
software,295
defense,294
mexico,294
designed,294
opened,293
bring,293
came,292
hard,292
computers,292
military,291
minimum,291
provision,290
remains,290
activities,288
health,288
weather,288
buffer,288
cent,287
expand,287
activity,287
others,287
season,286
managers,286
consumers,285
clear,285
unless,285
estimate,285
formed,284
lost,284
left,283
gatt,283
exchanges,283
dropped,283
prepared,283
maintain,282
needs,282
falling,279
volcker,279
quarterly,278
acquisitions,278
calls,278
allowed,278
tuesday,278
programs,277
means,277
copper,277
question,276
stop,276
underwriters,276
hours,275
outside,275
cooperation,275
borrowing,275
best,274
flow,274
rejected,274
requirements,273
leaders,273
fully,272
particularly,272
california,272
met,272
nakasone,272
progress,271
reflect,271
face,270
ibm,270
role,269
provisions,269
considering,269
night,268
primary,268
properties,268
factors,267
believed,267
instead,267
pipeline,267
labour,267
africa,267
guaranteed,267
luxembourg,267
street,266
operate,266
salomon,266
improvement,266
facilities,266
exporters,265
wall,265
bankruptcy,265
parliament,265
recovery,265
silver,265
denominations,265
cos,264
using,264
boston,264
supplies,264
houses,264
suit,263
accounting,263
consumption,263
build,263
field,263
reason,262
eurobond,262
estate,262
either,261
totalled,261
owns,261
fees,261
undisclosed,260
coming,260
dispute,259
subsidies,259
economist,259
representatives,259
factor,259
manufacturers,258
shipment,258
express,258
big,257
strategy,257
along,256
registration,256
found,256
released,256
worlds,255
step,255
discussions,254
developed,254
granted,254
attempt,254
philippines,254
authorities,254
believes,253
property,253
purchased,253
shipping,253
delegates,253
yesterdays,253
effort,252
election,252
incs,252
voting,252
monthly,252
cable,251
considered,251
old,251
korea,251
paul,251
add,251
unlikely,250
g,250
access,250
wage,250
starting,249
fuel,249
develop,249
percentage,248
port,248
authorized,247
says,247
latin,246
seasonally,246
planning,246
great,246
rating,245
cited,245
remained,245
feet,245
authority,244
gm,244
direct,244
meetings,244
normal,244
steady,244
callable,244
entered,243
specific,243
active,243
try,242
legal,242
visit,242
earned,242
launched,242
prospects,242
accepted,241
purposes,241
worldwide,241
singapore,241
quality,241
holds,241
conversion,240
minus,240
congressional,240
accept,240
predicted,240
covering,239
dealer,239
find,239
electronic,239
organization,239
application,239
wholly,238
pricing,238
italy,237
parts,237
claims,237
followed,236
ford,236
giving,236
principle,236
guilders,236
benefit,235
partly,235
serious,235
advanced,235
fee,235
controls,234
dome,234
beef,234
looking,232
semiconductor,232
preliminary,231
measure,231
speculation,231
water,231
projected,231
rest,231
rice,231
weekly,231
african,231
intends,230
spot,230
diluted,229
wanted,229
complete,228
spokeswoman,228
democratic,228
technical,228
richard,227
known,227
offset,227
lawson,227
temporary,226
david,226
medical,226
mines,226
possibility,226
brokerage,225
posted,225
grow,225
leader,225
metal,225
pretax,225
eastern,225
outlook,225
wants,224
asset,224
consolidated,224
ct,224
round,224
placed,223
family,223
cotton,222
periods,222
largely,222
pending,221
require,220
creditor,220
biggest,219
indonesia,219
buyers,219
nuclear,218
premium,218
william,218
speech,218
single,218
crops,218
continental,218
ounces,218
drilling,218
maximum,217
transfer,217
assistance,217
rated,217
brought,216
wednesday,216
every,216
equal,216
winter,216
usair,216
lbs,216
completion,215
protection,215
dividends,215
positions,215
rubber,215
follows,215
though,215
acres,214
amounts,214
towards,214
laws,214
especially,214
immediate,214
reducing,214
privately,214
awarded,214
subcommittee,213
versus,213
yeutter,213
generally,213
independent,213
saw,213
subsidiaries,212
equivalent,212
reflected,211
regional,211
suspended,211
soybeans,211
away,211
region,211
lot,211
cause,211
ratio,211
whose,211
materials,211
cumulative,210
f,210
bell,210
expectations,210
together,210
whole,210
middle,210
trying,209
various,209
carry,209
moves,209
damage,209
confidence,209
oils,209
aids,209
newly,208
slow,207
representative,207
diplomats,207
attack,207
positive,206
arms,206
maize,206
urged,206
managed,206
cattle,206
expenses,206
afternoon,206
electronics,206
ecuador,205
speaking,205
iraq,205
argentina,204
sa,204
forced,204
coal,204
maturity,204
reforms,204
parties,204
offshore,204
ability,203
michael,203
concerned,203
prevent,203
global,203
agree,202
lehman,202
airline,202
restrictions,202
commitment,202
summer,202
basic,202
different,202
substantially,201
forces,201
external,201
rule,200
adjustment,200
hope,200
engineering,200
funding,200
done,199
failure,199
excess,199
processing,198
relatively,198
venezuela,198
stable,198
look,198
negotiating,197
reagans,197
structure,197
san,197
unemployment,197
concession,197
totaled,196
commodities,196
crowns,196
valued,196
avoid,196
registered,196
thursday,195
affect,195
deputy,195
separate,195
cutting,195
governor,195
hopes,194
release,194
makes,194
strength,194
feed,194
benefits,194
trend,193
floor,193
arabia,193
transport,193
sea,193
originally,193
conservative,192
anti,192
district,191
ships,191
asia,191
rescheduling,190
fact,190
sectors,190
ways,190
side,190
went,190
weekend,190
center,189
dec,189
representing,189
know,189
forecasts,189
original,189
comparable,189
chinese,188
debts,188
exercise,188
drexel,187
backed,187
published,187
seat,187
survey,187
coast,187
gencorp,187
repayment,186
managing,186
pound,186
follow,186
summit,186
nv,186
ton,186
intent,185
resigned,185
county,185
sought,185
customer,185
imposed,185
zealand,185
enterprises,184
charged,184
social,184
miyazawa,184
limits,184
royal,184
warrant,184
opinion,183
quickly,183
jan,183
associates,183
huge,183
regular,183
auction,183
forward,182
supported,182
video,182
alternative,182
weak,182
stanley,182
shell,182
requirement,181
sachs,181
warned,181
gmt,181
ore,181
sent,181
controlled,180
jobs,180
interested,180
actions,179
redemption,179
size,179
ownership,178
calendar,178
negative,178
helped,178
significantly,178
lyng,178
smith,177
gasoline,177
established,177
funaro,177
block,177
unions,177
relations,177
running,177
represents,177
spread,177
connection,176
expressed,176
participation,176
bids,175
approximately,175
rises,175
abroad,175
gnp,175
ordinary,175
passed,175
bonus,174
hutton,174
continues,174
resulting,174
successful,173
truck,173
voted,173
store,173
banker,173
remarks,173
borrowings,173
aa,173
trader,172
goldman,172
discussed,172
lowered,172
bags,172
willing,172
ounce,172
bureau,171
india,171
provisional,171
boeing,171
values,170
reorganization,170
metals,170
palm,170
affairs,169
ready,169
intended,169
protect,169
applications,169
via,169
spring,169
comments,169
confirmed,169
yields,169
machines,169
utility,169
effects,169
oecd,169
pennzoil,169
storage,168
makers,168
maker,168
spain,168
opposed,168
sanctions,168
scale,168
ccc,167
grade,167
behind,167
matter,167
thought,167
list,167
approve,167
individual,167
shortage,166
retaliation,166
canadas,166
scheme,166
items,166
radio,166
larger,166
technologies,166
institutional,165
invest,165
nation,165
allied,165
nippon,165
hour,164
imported,164
statements,164
stockholders,164
replace,164
defence,164
extend,164
ldp,164
transportation,164
portion,163
signs,163
grew,163
wide,163
feb,163
cyclops,163
sign,162
moving,162
repay,162
redeem,162
ecus,162
regulations,162
chinas,162
kuwait,162
fresh,162
margin,162
citicorp,161
provides,161
steps,161
entire,161
developments,161
refinery,161
lb,161
debtor,161
brown,161
file,160
definitive,160
determined,160
suggested,160
lack,160
commitments,160
recession,160
organisation,159
resulted,159
toronto,159
philippine,159
moscow,159
stimulate,159
hearing,159
relief,158
highest,158
hoped,158
italian,158
ico,158
broker,157
hughes,157
departments,156
offices,156
cabinet,156
delayed,156
interbank,156
inventory,155
mean,155
elections,155
optimistic,155
smaller,154
floating,154
create,154
denied,154
encourage,154
traditional,154
lire,153
fields,153
democrats,153
across,152
built,152
associated,152
risen,152
lloyds,152
annually,152
douglas,152
tin,152
r,152
cargo,152
chance,151
sheet,151
care,151
course,151
stood,151
instruments,150
providing,150
refused,150
consortium,150
launch,150
chemicals,150
mostly,149
toward,149
raw,149
anticipated,149
harvest,149
arab,149
exceed,149
illinois,148
exposure,148
ask,148
initially,148
linked,148
guarantee,148
allowing,148
alleged,148
push,148
ranging,148
shortly,148
secondary,148
chase,148
barley,148
e,148
meat,147
declining,147
idea,147
employment,147
components,147
advisory,147
formal,147
totalling,147
george,147
protectionist,147
al,147
expenditure,147
margins,147
passenger,147
buyout,147
focus,146
soft,146
possibly,146
targets,146
liberal,146
ceiling,146
ratings,146
obligations,145
appeared,145
condition,145
turn,145
vehicles,145
recorded,145
primarily,145
appears,144
lambert,144
internal,144
multi,144
ship,144
pension,144
ever,144
republican,144
accounted,144
interim,144
leave,143
solution,143
operators,143
enter,143
nothing,143
difficulties,143
engine,142
poll,142
investigation,142
underlying,142
committed,142
asian,142
auto,142
advance,142
gained,141
portfolio,141
reporting,141
bad,141
emergency,141
restated,141
cubic,141
acreage,140
practices,140
atlantic,140
pesos,140
adopted,140
demands,140
job,140
reflects,140
fears,140
river,140
dixons,140
created,140
upon,140
liabilities,139
described,139
compares,139
strategic,139
broad,139
branch,138
warner,138
anything,138
zinc,138
vw,138
achieve,138
netherlands,138
ongpin,138
converted,138
nominal,138
ohio,138
st,138
drive,137
resolve,137
poor,137
stage,137
bilateral,137
dealing,137
ease,137
hand,137
really,137
directly,137
florida,137
gdp,137
negotiate,136
tough,136
switzerland,136
movement,136
sides,136
panel,136
identified,136
double,136
overnight,136
executives,136
space,136
agencies,136
load,136
x,136
material,135
airbus,135
pointed,135
operates,135
la,135
throughout,135
hectares,135
libor,135
digital,135
fire,135
profitable,135
bp,135
johnson,135
signal,135
burnham,134
expire,134
appointed,134
widely,134
missiles,134
economies,134
apply,134
confident,134
establish,134
book,134
elected,134
extension,133
howard,133
affiliate,133
room,133
direction,133
responsible,133
particular,133
borrowers,133
reductions,133
treatment,133
determine,133
retain,133
twa,133
announce,133
rand,133
federation,132
status,132
strikes,132
serve,132
join,132
taiwans,132
chip,132
unable,132
dow,132
chips,132
bancorp,131
freeze,131
housing,131
delay,131
ten,130
testing,130
million,130
campaign,130
involving,130
marine,130
noting,130
opportunities,130
exclude,130
decide,130
suspension,130
compromise,130
ordered,130
counter,130
island,130
increasingly,130
santa,130
chapter,130
democrat,130
belgian,130
rigs,130
reynolds,130
thailand,130
band,130
pays,130
sees,129
sole,129
impose,129
excluding,129
kind,129
resume,129
maturing,129
aluminium,129
consideration,129
iraqi,129
houston,129
preference,129
standards,128
underwriter,128
success,128
miller,128
los,128
applied,128
ensure,128
threatened,128
talk,128
membership,128
repayments,128
approach,128
cases,128
sun,128
waste,128
affirmed,127
achieved,127
appropriate,127
evidence,127
lowest,127
ab,127
utilities,127
corporations,127
bringing,127
calif,126
growers,126
modest,126
team,126
participants,126
rumors,126
strongly,126
users,126
bushels,126
reaction,126
jersey,126
combination,126
secured,126
louvre,126
labor,125
closely,125
shift,125
centre,125
enable,125
debate,125
manhattan,125
placement,125
cftc,125
stay,125
moderate,125
charles,125
setting,124
police,124
borg,124
carried,124
complex,124
textile,124
choice,124
things,124
comes,124
carries,124
beyond,124
speculative,124
att,124
jefferies,124
eased,123
clearing,123
decisions,123
reasons,123
programme,123
baldrige,123
malaysia,123
saturday,123
sentiment,123
university,123
wells,123
advantage,122
interstate,122
shelf,122
design,122
lenders,122
fair,122
recommendation,122
mutual,122
caesars,122
partner,122
initiative,122
inventories,122
stoltenberg,122
stronger,122
syndicate,122
subsidy,122
lease,121
depressed,121
break,121
jointly,121
renewed,121
aide,121
listing,121
body,121
averaged,121
deregulation,121
regulators,120
allows,120
ruled,120
wholesale,120
ventures,120
bulk,120
club,120
chancellor,120
nasdaq,120
leaving,120
lp,120
located,120
aug,120
ban,119
delivered,119
certificate,119
except,119
bear,119
declines,119
contributed,119
never,119
halt,119
stand,119
clearly,119
sunday,119
employers,119
quebec,119
rain,119
scandal,118
unfair,118
angeles,118
hotel,118
deals,118
shultz,118
surpluses,118
extent,118
compete,118
alone,118
disclose,118
minority,118
bourse,118
uncertainty,118
vegetable,118
severe,118
aerospace,118
unch,118
write,117
model,117
presented,117
thus,117
therefore,117
semiconductors,117
live,117
carrying,117
moved,117
hurt,117
weakness,117
patent,117
adb,117
became,116
begun,116
malaysian,116
presidential,116
extremely,116
businessmen,116
reflecting,116
row,116
link,116
republic,116
sept,116
cbt,116
submitted,115
j,115
zero,115
obtain,115
duties,115
actual,115
formerly,115
communique,115
hands,115
aim,115
duty,115
environment,115
advances,115
models,115
csr,115
quarters,114
maturities,114
concluded,114
meanwhile,114
trucks,114
written,114
certainly,114
veto,114
icco,114
speed,114
black,114
calling,114
opportunity,114
attractive,114
imbalances,114
purolator,114
jones,114
goal,113
traffic,113
arrangement,113
judge,113
grace,113
spanish,113
extra,113
covered,113
requested,113
shows,113
commissions,113
promote,113
yasuhiro,113
merchant,113
freight,113
let,113
deliveries,112
fallen,112
na,112
intention,112
permit,112
curb,112
draft,112
poehl,112
banque,112
amendment,112
getting,112
vehicle,112
environmental,112
piedmont,112
drought,112
miti,112
deutsche,112
colombia,111
showing,111
appeal,111
damages,111
lift,111
semi,111
profitability,111
acquiring,111
expanded,111
card,111
eventually,111
introduction,110
highly,110
offerings,110
exxon,110
negotiated,110
justice,110
gap,110
something,110
virtually,110
tranche,110
dry,110
phase,110
grains,110
thai,110
decrease,109
works,109
machinery,109
sure,109
turkey,109
joined,109
introduce,109
du,109
clients,109
collapse,109
recommended,109
pressures,109
trades,109
ef,108
tariff,108
buyer,108
regions,108
dairy,108
tendered,108
guarantees,108
gives,108
kept,108
minerals,108
fats,108
often,108
attributed,108
spend,108
mercantile,108
ontario,108
sorghum,108
supreme,108
got,107
upward,107
powers,107
feel,107
takes,107
insider,107
operated,107
ltds,107
represented,107
fast,107
recapitalization,107
planted,106
meant,106
clayton,106
exporting,106
citibank,106
site,106
distributed,106
killed,106
indian,106
threat,106
ports,106
faced,106
appear,106
stabilise,106
falls,106
red,106
officers,106
parliamentary,106
detailed,106
yens,106
experts,106
disease,106
pace,106
hk,106
represent,106
maintenance,106
complaint,106
contribution,106
fundamentals,106
k,105
improving,105
airways,105
michigan,105
rapid,105
accrued,105
telegraph,105
wilson,105
cross,105
schedule,105
specialty,105
noranda,105
mills,104
elaborate,104
branches,104
reference,104
expanding,104
missile,104
headquarters,104
returned,104
risks,104
fairly,104
conducted,104
media,104
workforce,104
flexibility,104
seriously,104
vessels,104
navy,104
concerns,104
taft,104
thing,103
license,103
agent,103
acting,103
bankamerica,103
centers,103
thomas,103
seems,103
earthquake,103
mexican,103
movements,103
starts,103
self,103
spa,103
attention,103
fob,103
easier,103
army,103
harris,102
incentives,102
exported,102
example,102
denominated,102
refining,102
martin,102
shut,102
participate,102
obtained,102
always,102
assembly,102
van,102
requires,102
mill,102
protest,102
integrated,102
fleet,102
owners,101
circumstances,101
considerable,101
stabilize,101
waiting,101
alternatives,101
expenditures,101
refined,101
depreciation,101
assistant,101
grant,101
seats,101
adequate,101
excessive,101
deficits,101
blood,101
grades,100
narrow,100
hotels,100
welcomed,100
smelter,100
greece,100
proceed,100
pounds,100
exchequer,100
front,100
depending,100
rep,100
wright,100
adjustments,100
remainder,100
stopped,99
flights,99
flight,99
boosted,99
brief,99
alan,99
widespread,99
pursue,99
alliance,99
massive,99
bonn,99
fear,99
version,99
headed,99
stressed,99
cold,99
usa,99
tests,99
unsecured,99
airport,99
n,99
performing,98
ussr,98
balances,98
intervened,98
distance,98
convert,98
wages,98
stations,98
prompted,98
frankfurt,98
liability,98
maintained,98
wait,98
committees,98
peter,98
pork,98
kansas,97
korean,97
rev,97
expiration,97
spent,97
reasonable,97
dumping,97
barriers,97
midland,97
stated,97
questions,97
bit,97
argentine,97
electrical,97
practice,97
win,97
suffered,97
swedish,97
eliminate,96
tight,96
shown,96
entry,96
britains,96
broadcasting,96
ecs,96
peru,96
shortfall,96
meal,96
felt,96
coastal,96
bbb,96
outcome,95
core,95
merge,95
strengthen,95
address,95
frozen,95
effectively,95
appreciation,95
entertainment,95
studies,95
earn,95
electricity,95
louisiana,95
occurred,94
weaker,94
concentrate,94
simply,94
resolution,94
shipped,94
moment,94
sufficient,94
reaching,94
recover,94
favourable,94
terminal,94
peabody,94
retained,94
mitsubishi,94
pc,94
worked,94
cities,94
hog,94
individuals,94
ends,94
ems,94
documents,94
oct,94
foods,94
nigeria,94
dallas,94
mcdonnell,94
kuwaiti,94
guaranty,93
burden,93
engines,93
cooperate,93
heavily,93
thirds,93
expires,93
rapidly,93
factory,93
contribute,93
criticism,93
safety,93
brings,93
revolving,93
competitiveness,93
sen,93
station,93
redeemable,93
venice,93
talking,92
worst,92
aggressive,92
issuance,92
railway,92
debtors,92
damaged,92
turned,92
ba,92
experience,92
rains,92
acceptance,92
drugs,92
painewebber,92
understanding,92
rally,91
owed,91
seasonal,91
books,91
pushed,91
controversial,91
deadline,91
nearby,91
conservatives,91
manila,91
egypt,91
ranges,91
keeping,91
kidder,91
faster,91
equities,91
type,91
communist,91
expensive,91
quite,91
phillips,91
fight,91
litigation,91
belgium,91
selected,91
tobacco,91
fairchild,91
fundamental,90
employee,90
finished,90
governors,90
nyse,90
arranged,90
conduct,90
priority,90
encouraging,90
planes,90
affecting,90
laboratories,90
publicly,90
southwest,90
baa,90
backlog,90
manufacturer,90
divisions,90
satisfactory,89
referring,89
relative,89
apparently,89
hospital,89
lake,89
donald,89
contained,89
licences,89
indonesian,89
nationwide,89
boards,89
cereals,89
save,89
normally,89
economics,89
firmer,89
citing,89
runs,89
purpose,89
greenspan,89
resolved,88
neither,88
faces,88
borrower,88
changing,88
depend,88
germanys,88
king,88
publishing,88
kiichi,88
approvals,88
procedures,88
slaughter,88
battle,88
eligible,88
responsibility,88
sears,88
bidding,88
customs,88
holiday,88
reiterated,87
promised,87
play,87
swap,87
holder,87
commenting,87
troops,87
reverse,87
machine,87
settle,87
critical,87
beet,87
protectionism,87
nec,87
comprise,87
balladur,87
writedown,87
asking,87
automotive,87
underway,87
generated,87
pledged,87
withdraw,87
succeed,87
dominion,87
nomura,87
looks,87
conable,87
recommendations,86
man,86
regarding,86
ge,86
lose,86
prudential,86
chartered,86
concerning,86
attempts,86
wood,86
favour,86
trip,86
ground,86
expense,86
leveraged,86
miners,86
tire,86
attacks,86
ii,86
relationship,86
amoco,86
gaf,86
petition,85
incurred,85
behalf,85
homes,85
halted,85
journalists,85
civil,85
fighting,85
pass,85
violations,85
delegation,85
retirement,85
guilder,85
goes,85
mixed,85
supermarkets,85
williams,85
cme,85
est,85
diplomat,85
fe,85
el,85
burlington,85
broke,84
happen,84
intermediate,84
downward,84
inter,84
resignation,84
calculated,84
implement,84
km,84
indicate,84
warning,84
living,84
carrier,84
history,84
enhancement,84
fda,84
favorable,84
nov,84
merchandise,84
yugoslavia,84
appeals,84
hanover,83
columbia,83
jose,83
bb,83
